match,winner,margin,ground,country,date,year,bat_first_winner,margin_bin,decade,half_decade
14,India,6 wickets,Melbourne,Australia,"Feb 20, 1985",1985,Matches won bowling first,4-6 wickets,1980-1989,1985-1989
15,India,8 wickets,Melbourne,Australia,"Mar 10, 1985",1985,Matches won bowling first,7-9 wickets,1980-1989,1985-1989
83,Pakistan,2 wickets,Brisbane,Australia,"Jan 10, 2000",2000,Matches won bowling first,1-3 wickets,2000-2009,2000-2004
28,India,4 wickets,Dhaka,Bangladesh,"Oct 31, 1988",1988,Matches won bowling first,4-6 wickets,1980-1989,1985-1989
68,India,8 wickets,Dhaka,Bangladesh,"Jan 14, 1998",1998,Matches won bowling first,7-9 wickets,1990-1999,1995-1999
69,Pakistan,6 wickets,Dhaka,Bangladesh,"Jan 16, 1998",1998,Matches won bowling first,4-6 wickets,1990-1999,1995-1999
70,India,3 wickets,Dhaka,Bangladesh,"Jan 18, 1998",1998,Matches won bowling first,1-3 wickets,1990-1999,1995-1999
126,India,6 wickets,Dhaka,Bangladesh,"Mar 18, 2012",2012,Matches won bowling first,4-6 wickets,2010-2017,2010-2014
131,Pakistan,1 wicket,Dhaka,Bangladesh,"Mar 2, 2014",2014,Matches won bowling first,1-3 wickets,2010-2017,2010-2014
49,India,8 wickets,Toronto,Canada,"Sep 16, 1996",1996,Matches won bowling first,7-9 wickets,1990-1999,1995-1999
50,Pakistan,2 wickets,Toronto,Canada,"Sep 17, 1996",1996,Matches won bowling first,1-3 wickets,1990-1999,1995-1999
58,India,7 wickets,Toronto,Canada,"Sep 14, 1997",1997,Matches won bowling first,7-9 wickets,1990-1999,1995-1999
61,India,7 wickets,Toronto,Canada,"Sep 20, 1997",1997,Matches won bowling first,7-9 wickets,1990-1999,1995-1999
62,Pakistan,5 wickets,Toronto,Canada,"Sep 21, 1997",1997,Matches won bowling first,4-6 wickets,1990-1999,1995-1999
71,India,6 wickets,Toronto,Canada,"Sep 12, 1998",1998,Matches won bowling first,4-6 wickets,1990-1999,1995-1999
75,Pakistan,5 wickets,Toronto,Canada,"Sep 20, 1998",1998,Matches won bowling first,4-6 wickets,1990-1999,1995-1999
8,India,4 wickets,Hyderabad,India,"Sep 10, 1983",1983,Matches won bowling first,4-6 wickets,1980-1989,1980-1984
9,India,4 wickets,Jaipur,India,"Oct 2, 1983",1983,Matches won bowling first,4-6 wickets,1980-1989,1980-1984
20,Pakistan,3 wickets,Indore,India,"Jan 27, 1987",1987,Matches won bowling first,1-3 wickets,1980-1989,1985-1989
21,Pakistan,2 wickets,Kolkata,India,"Feb 18, 1987",1987,Matches won bowling first,1-3 wickets,1980-1989,1985-1989
23,Pakistan,6 wickets,Pune,India,"Mar 22, 1987",1987,Matches won bowling first,4-6 wickets,1980-1989,1985-1989
25,Pakistan,5 wickets,Jamshedpur,India,"Mar 26, 1987",1987,Matches won bowling first,4-6 wickets,1980-1989,1985-1989
77,Pakistan,7 wickets,Mohali,India,"Apr 1, 1999",1999,Matches won bowling first,7-9 wickets,1990-1999,1995-1999
99,Pakistan,6 wickets,Kolkata,India,"Nov 13, 2004",2004,Matches won bowling first,4-6 wickets,2000-2009,2000-2004
103,Pakistan,3 wickets,Ahmedabad,India,"Apr 12, 2005",2005,Matches won bowling first,1-3 wickets,2000-2009,2005-2009
104,Pakistan,5 wickets,Kanpur,India,"Apr 15, 2005",2005,Matches won bowling first,4-6 wickets,2000-2009,2005-2009
114,India,5 wickets,Guwahati,India,"Nov 5, 2007",2007,Matches won bowling first,4-6 wickets,2000-2009,2005-2009
115,Pakistan,4 wickets,Mohali,India,"Nov 8, 2007",2007,Matches won bowling first,4-6 wickets,2000-2009,2005-2009
117,India,6 wickets,Gwalior,India,"Nov 15, 2007",2007,Matches won bowling first,4-6 wickets,2000-2009,2005-2009
127,Pakistan,6 wickets,Chennai,India,"Dec 30, 2012",2012,Matches won bowling first,4-6 wickets,2010-2017,2010-2014
2,Pakistan,8 wickets,Sialkot,Pakistan,"Oct 13, 1978",1978,Matches won bowling first,7-9 wickets,1970-1979,1975-1979
7,Pakistan,8 wickets,Karachi,Pakistan,"Jan 21, 1983",1983,Matches won bowling first,7-9 wickets,1980-1989,1980-1984
63,Pakistan,5 wickets,Hyderabad,Pakistan,"Sep 28, 1997",1997,Matches won bowling first,4-6 wickets,1990-1999,1995-1999
64,India,4 wickets,Karachi,Pakistan,"Sep 30, 1997",1997,Matches won bowling first,4-6 wickets,1990-1999,1995-1999
65,Pakistan,9 wickets,Lahore,Pakistan,"Oct 2, 1997",1997,Matches won bowling first,7-9 wickets,1990-1999,1995-1999
93,Pakistan,4 wickets,Peshawar,Pakistan,"Mar 19, 2004",2004,Matches won bowling first,4-6 wickets,2000-2009,2000-2004
94,India,5 wickets,Lahore,Pakistan,"Mar 21, 2004",2004,Matches won bowling first,4-6 wickets,2000-2009,2000-2004
107,India,7 wickets,Rawalpindi,Pakistan,"Feb 11, 2006",2006,Matches won bowling first,7-9 wickets,2000-2009,2005-2009
